Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,geometry,COMUNA
Analítica de video,Av. Juan Bautista Alberdi 890,"semáforo rojo, senda peatonal",-34.6229296,-58.4405593,POINT (-58.4405593 -34.6229296),6
Analítica de video,AV. Rivadavia 4987,"semáforo rojo, senda peatonal",-34.6180948,-58.43609,POINT (-58.43609 -34.6180948),6
Analítica de video,Rosario 21,"semáforo rojo, senda peatonal",-34.6183695,-58.4290076,POINT (-58.4290076 -34.6183695),6
Analítica de video,Av Gaona 2300,"semáforo rojo, senda peatonal",-34.6137044,-58.4594855,POINT (-58.4594855 -34.6137044),6
Analítica de video,Av. San Martí­n 1844,"semáforo rojo, senda peatonal",-34.6056573,-58.4545631,POINT (-58.4545631 -34.6056573),6
Analítica de video,Montevideo 300,Invasión de ciclovia,-34.6230642,-58.4405459,POINT (-58.4405459 -34.6230642),6
Analítica de video,Av. Corrientes 2676,Invasión de ciclovia,-34.6179844,-58.4361597,POINT (-58.4361597 -34.6179844),6
Analítica de video,Billinghurst 301,Invasión de ciclovia,-34.61822,-58.429025,POINT (-58.429025 -34.61822),6
Analítica de video,AMENABAR 2209,Invasión de ciclovia,-34.6137044,-58.4594855,POINT (-58.4594855 -34.6137044),6
Analítica de video,Av. Rivadavia 7218,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6056573,-58.4545631,POINT (-58.4545631 -34.6056573),6
Cinemómetro,Av. Gaona 1852,Exceso de velocidad,-34.611735,-58.454193,POINT (-58.454193 -34.611735),6
Cinemómetro,Av. Juan B. Alberdi 1260,Exceso de velocidad,-34.624328,-58.445799,POINT (-58.445799 -34.624328),6
Cinemómetro,Av. Pedro Goyena 805,Exceso de velocidad,-34.62622,-58.439244,POINT (-58.439244 -34.62622),6
Analítica de video,Av. Juan B. Justo 3969,"semáforo rojo, senda peatonal, Giro indebido",-34.6041664,-58.458205,POINT (-58.458205 -34.6041664),15
Analítica de video,Av. Cordoba 6287,semáforo rojo,-34.582832,-58.4485977,POINT (-58.4485977 -34.582832),15
Analítica de video,Av. Cordoba 4570,"semáforo rojo, senda peatonal",-34.5945194,-58.4297659,POINT (-58.4297659 -34.5945194),15
Analítica de video,Av. Cordoba 4471,"semáforo rojo, senda peatonal",-34.5950856,-58.4288221,POINT (-58.4288221 -34.5950856),15
Analítica de video,Av. Francisco Beiró 2875,"semáforo rojo, senda peatonal",-34.5947753,-58.4941256,POINT (-58.4941256 -34.5947753),15
Analítica de video,Av. Corriente 6210,"semáforo rojo, senda peatonal",-34.5915862,-58.447969,POINT (-58.447969 -34.5915862),15
Analítica de video,Av. Corrientes 5220,"semáforo rojo, senda peatonal",-34.59987,-58.4390869,POINT (-58.4390869 -34.59987),15
Analítica de video,Av. Córdoba 3907,Invasión de ciclovia,-34.6040577,-58.4583156,POINT (-58.4583156 -34.6040577),15
Analítica de video,Av. Corrientes 5694,Invasión de ciclovia,-34.5827315,-58.448532,POINT (-58.448532 -34.5827315),15
Analítica de video,JOSE BONIFACIO 2501,Invasión de ciclovia,-34.59468,-58.4299651,POINT (-58.4299651 -34.59468),15
Analítica de video,Av. Federico Lacroze 4199,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5867518,-58.4552263,POINT (-58.4552263 -34.5867518),15
Analítica de video,Av. Forest 634,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.5849407,-58.4543749,POINT (-58.4543749 -34.5849407),15
Cinemómetro,Av. Estado de Israel 4488,Exceso de velocidad,-34.598505,-58.428523,POINT (-58.428523 -34.598505),15
Cinemómetro,Av. Estado de Israel 4496,Exceso de velocidad,-34.598505,-58.428523,POINT (-58.428523 -34.598505),15
Cinemómetro,Av. Elcano 4430,Exceso de velocidad,-34.587943,-58.463905,POINT (-58.463905 -34.587943),15
Cinemómetro,Av. De los Constituyentes 3264,Exceso de velocidad,-34.590602,-58.480313,POINT (-58.480313 -34.590602),15
Cinemómetro,Av. Juan B. Justo 2650,Exceso de velocidad,-34.595415,-58.445046,POINT (-58.445046 -34.595415),15
Cinemómetro,Av. Jorge Newbery 4733,Exceso de velocidad,-34.594573,-58.457205,POINT (-58.457205 -34.594573),15
Cinemómetro,Av. Honorio Pueyrredon 1815,Exceso de velocidad,-34.600777,-58.451289,POINT (-58.451289 -34.600777),15
Cinemómetro,Av. Elcano 4510,Exceso de velocidad,-34.588939,-58.464781,POINT (-58.464781 -34.588939),15
Analítica de video,Bernardo de Yrigoyen 1026,semáforo rojo,-34.620115,-58.3801422,POINT (-58.3801422 -34.620115),1
Analítica de video,AV.Paseo Colon 753,"semáforo rojo, senda peatonal",-34.6167193,-58.3694479,POINT (-58.3694479 -34.6167193),1
Analítica de video,Lima 281,"semáforo rojo, senda peatonal",-34.6116696,-58.3819691,POINT (-58.3819691 -34.6116696),1
Analítica de video,Av. Independencia 1784,"semáforo rojo, senda peatonal",-34.6183201,-58.3913006,POINT (-58.3913006 -34.6183201),1
Analítica de video,Av. San Juan 1119,"semáforo rojo, senda peatonal",-34.6219603,-58.3818964,POINT (-58.3818964 -34.6219603),1
Analítica de video,Av. Leandro N. Alem 518,"semáforo rojo, senda peatonal",-34.6016026,-58.3706653,POINT (-58.3706653 -34.6016026),1
Analítica de video,Lima Oeste 1524,semáforo rojo,-34.6261863,-58.3821062,POINT (-58.3821062 -34.6261863),1
Analítica de video,Dr. Jose Maria Ramos Mejia 1304,"semáforo rojo, senda peatonal",-34.5923398,-58.3751466,POINT (-58.3751466 -34.5923398),1
Analítica de video,Av. Belgrano 324,"semáforo rojo, senda peatonal",-34.6125804,-58.3708745,POINT (-58.3708745 -34.6125804),1
Analítica de video,AV.Paseo Colón 400,"semáforo rojo, senda peatonal",-34.6128447,-58.3688407,POINT (-58.3688407 -34.6128447),1
Analítica de video,Av. Entre Rí­os 1818,"semáforo rojo, senda peatonal",-34.6295987,-58.3907567,POINT (-58.3907567 -34.6295987),1
Analítica de video,Av. Juan de Garay 1769,"semáforo rojo, senda peatonal",-34.6272455,-58.3902949,POINT (-58.3902949 -34.6272455),1
Analítica de video,Gorriti 5300,Invasión de ciclovia,-34.6201095,-58.3799732,POINT (-58.3799732 -34.6201095),1
Analítica de video,C.CALVO 2195,Invasión de ciclovia,-34.6167221,-58.3695746,POINT (-58.3695746 -34.6167221),1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.62278,-58.379774,POINT (-58.379774 -34.62278),1
Cinemómetro,Au. Arturo Humberto Illia km 1.2,Exceso de velocidad,-34.582714,-58.381579,POINT (-58.381579 -34.582714),1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.62278,-58.379774,POINT (-58.379774 -34.62278),1
Cinemómetro,Au. Arturo Humberto Illia km 1.2,Exceso de velocidad,-34.582546,-58.381472,POINT (-58.381472 -34.582546),1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.622886,-58.379715,POINT (-58.379715 -34.622886),1
Cinemómetro,Au. Arturo Frondizi km 2.6,Exceso de velocidad,-34.627679,-58.379081,POINT (-58.379081 -34.627679),1
Cinemómetro,Av. San Juan 730,Exceso de velocidad,-34.622106,-58.376237,POINT (-58.376237 -34.622106),1
Cinemómetro,Av. Independencia 1668,Exceso de velocidad,-34.618124,-58.389834,POINT (-58.389834 -34.618124),1
Cinemómetro,Av. De Mayo 930,Exceso de velocidad,-34.608993,-58.379718,POINT (-58.379718 -34.608993),1
Analítica de video,Av. Rivadavia 10524,"semáforo rojo, senda peatonal, Giro indebido",-34.6393519,-58.511761,POINT (-58.511761 -34.6393519),9
Analítica de video,AV. Lisandro de la Torre 663,"semáforo rojo, senda peatonal",-34.6460407,-58.5205847,POINT (-58.5205847 -34.6460407),9
Analítica de video,Superí­ 1803,Invasión de ciclovia,-34.6394678,-58.511763,POINT (-58.511763 -34.6394678),9
Analítica de video,Av. Callao 858,Uso de cinturón,-34.6460407,-58.5205847,POINT (-58.5205847 -34.6460407),9
Cinemómetro,Av. Emilio Castro 6281,Exceso de velocidad,-34.649256,-58.509924,POINT (-58.509924 -34.649256),9
Cinemómetro,Av. Bruix 4495,Exceso de velocidad,-34.646741,-58.487918,POINT (-58.487918 -34.646741),9
Cinemómetro,Av. Directorio 4155,Exceso de velocidad,-34.642733,-58.481786,POINT (-58.481786 -34.642733),9
Cinemómetro,Au. Perito Moreno km 4.5,Exceso de velocidad,-34.645308,-58.486354,POINT (-58.486354 -34.645308),9
Cinemómetro,Au. Perito Moreno km 4.5,Exceso de velocidad,-34.645308,-58.486354,POINT (-58.486354 -34.645308),9
Cinemómetro,Av. Rivadavia 10741,Exceso de velocidad,-34.639139,-58.515007,POINT (-58.515007 -34.639139),9
Cinemómetro,Av. Juan B. Justo 8736,Exceso de velocidad,-34.634205,-58.512419,POINT (-58.512419 -34.634205),9
Cinemómetro,Au. Perito Moreno km 4.8,Exceso de velocidad,-34.646162,-58.484752,POINT (-58.484752 -34.646162),9
Cinemómetro,Au. Perito Moreno km 4.8,Exceso de velocidad,-34.646162,-58.484752,POINT (-58.484752 -34.646162),9
Cinemómetro,Au. Perito Moreno km 0.3,Exceso de velocidad,-34.6349,-58.527448,POINT (-58.527448 -34.6349),9
Cinemómetro,Au. Au1 - Au6 Ramal de transición km 0.1,Exceso de velocidad,-34.647662,-58.464551,POINT (-58.464551 -34.647662),9
Cinemómetro,Au. General Paz km 17.5,Exceso de velocidad,-34.664765,-58.514672,POINT (-58.514672 -34.664765),9
Analítica de video,Av. Avellaneda 1825,"semáforo rojo, senda peatonal, Vía transversal",-34.6212716,-58.4563876,POINT (-58.4563876 -34.6212716),7
Analítica de video,Av. Avellaneda 2924,"semáforo rojo, senda peatonal",-34.626596,-58.47185,POINT (-58.47185 -34.626596),7
